draw,date,n1,n2,n3,n4,n5,n6,bonus
540,20130406,3,12,13,15,34,36,14
541,20130413,8,13,26,28,32,34,43
542,20130420,5,6,19,26,41,45,34
543,20130427,13,18,26,31,34,44,12
544,20130504,5,17,21,25,36,44,10
545,20130511,4,24,25,27,34,35,2
546,20130518,8,17,20,27,37,43,6
547,20130525,6,7,15,22,34,39,28
548,20130601,1,12,13,21,32,45,14
549,20130608,29,31,35,38,40,44,17
550,20130615,1,7,14,20,34,37,41
551,20130622,3,6,20,24,27,44,25
552,20130629,1,10,20,32,35,40,43
553,20130706,2,7,17,28,29,39,37
554,20130713,13,14,17,32,41,42,6
555,20130720,11,17,21,24,26,36,12
556,20130727,12,20,23,28,30,44,43
557,20130803,4,20,26,28,35,40,31
558,20130810,12,15,19,26,40,43,29
559,20130817,11,12,25,32,44,45,23
560,20130824,1,4,20,23,29,45,28
561,20130831,5,7,18,37,42,45,20
562,20130907,4,11,13,17,20,31,33
563,20130914,5,10,16,17,31,32,21
564,20130921,14,19,25,26,27,34,2
565,20130928,4,10,18,27,40,45,38
566,20131005,4,5,6,25,26,43,41
567,20131012,1,10,15,16,32,41,28
568,20131019,1,3,17,20,31,44,40
569,20131026,3,6,13,23,24,35,1
570,20131102,1,12,26,27,29,33,42
571,20131109,11,18,21,26,38,43,29
572,20131116,3,13,18,33,37,45,1
573,20131123,2,4,20,34,35,43,14
574,20131130,14,15,16,19,25,43,2
575,20131207,2,8,20,30,33,34,6
576,20131214,10,11,15,25,35,41,13
577,20131221,16,17,22,31,34,37,33
578,20131228,5,12,14,32,34,42,16
579,20140104,5,7,20,22,37,42,39
580,20140111,5,7,9,11,32,35,33
581,20140118,3,5,14,20,42,44,33
582,20140125,2,12,14,33,40,41,25
583,20140201,8,17,27,33,40,44,24
584,20140208,7,18,30,39,40,41,36
585,20140215,6,7,10,16,38,41,4
586,20140222,2,7,12,15,21,34,5
587,20140301,14,21,29,31,32,37,17
588,20140308,2,8,15,22,25,41,30
589,20140315,6,8,28,33,38,39,22
590,20140322,20,30,36,38,41,45,23
591,20140329,8,13,14,30,38,39,5
592,20140405,2,5,6,13,28,44,43
593,20140412,9,10,13,24,33,38,28
594,20140419,2,8,13,25,28,37,3
595,20140426,8,24,28,35,38,40,5
596,20140503,3,4,12,14,25,43,17
597,20140510,8,10,23,24,35,43,37
598,20140517,4,12,24,33,38,45,22
599,20140524,5,12,17,29,34,35,27
600,20140531,5,11,14,27,29,36,44
601,20140607,2,16,19,31,34,35,37
602,20140614,13,14,22,27,30,38,2
603,20140621,2,19,25,26,27,43,28
604,20140628,2,6,18,21,33,34,30
605,20140705,1,2,7,9,10,38,42
606,20140712,1,5,6,14,20,39,22
607,20140719,8,14,23,36,38,39,13
608,20140726,4,8,18,19,39,44,41
609,20140802,4,8,27,34,39,40,13
610,20140809,14,18,20,23,28,36,33
611,20140816,2,22,27,33,36,37,14
612,20140823,6,9,18,19,25,33,40
613,20140830,7,8,11,16,41,44,35
614,20140906,8,21,25,39,40,44,18
615,20140913,10,17,18,19,23,27,35
616,20140920,5,13,18,23,40,45,3
617,20140927,4,5,11,12,24,27,28
618,20141004,8,16,25,30,42,43,15
619,20141011,6,8,13,30,35,40,21
620,20141018,2,16,17,32,39,45,40
621,20141025,1,2,6,16,19,42,9
622,20141101,9,15,16,21,28,34,24
623,20141108,7,13,30,39,41,45,25
624,20141115,1,7,19,26,27,35,16
625,20141122,3,6,7,20,21,39,13
626,20141129,13,14,26,33,40,43,15
627,20141206,2,9,22,25,31,45,12
628,20141213,1,7,12,15,23,42,11
629,20141220,19,28,31,38,43,44,1
630,20141227,8,17,21,24,27,31,15
631,20150103,1,2,4,23,31,34,8
632,20150110,15,18,21,32,35,44,6
633,20150117,9,12,19,20,39,41,13
634,20150124,4,10,11,12,20,27,38
635,20150131,11,13,25,26,29,33,32
636,20150207,6,7,15,16,20,31,26
637,20150214,3,16,22,37,38,44,23
638,20150221,7,18,22,24,31,34,6
639,20150228,6,15,22,23,25,32,40
640,20150307,14,15,18,21,26,35,23
641,20150314,11,18,21,36,37,43,12
642,20150321,8,17,18,24,39,45,32
643,20150328,15,24,31,32,33,40,13
644,20150404,5,13,17,23,28,36,8
645,20150411,1,4,16,26,40,41,31
646,20150418,2,9,24,41,43,45,30
647,20150425,5,16,21,23,24,30,29
648,20150502,13,19,28,37,38,43,4
649,20150509,3,21,22,33,41,42,20
650,20150516,3,4,7,11,31,41,35
651,20150523,11,12,16,26,29,44,18
652,20150530,3,13,15,40,41,44,20
653,20150606,5,6,26,27,38,39,1
654,20150613,16,21,26,31,36,43,6
655,20150620,7,37,38,39,40,44,18
656,20150627,3,7,14,16,31,40,39
657,20150704,10,14,19,39,40,43,23
658,20150711,8,19,25,28,32,36,37
659,20150718,7,18,19,27,29,42,45
660,20150725,4,9,23,33,39,44,14
661,20150801,2,3,12,20,27,38,40
662,20150808,5,6,9,11,15,37,26
663,20150815,3,5,8,19,38,42,20
664,20150822,10,20,33,36,41,44,5
665,20150829,5,6,11,17,38,44,13
666,20150905,2,4,6,11,17,28,16
667,20150912,15,17,25,37,42,43,13
668,20150919,12,14,15,24,27,32,3
669,20150926,7,8,20,29,33,38,9
670,20151003,11,18,26,27,40,41,25
671,20151010,7,9,10,13,31,35,24
672,20151017,8,21,28,31,36,45,43
673,20151024,7,10,17,29,33,44,5
674,20151031,9,10,14,25,27,31,11
